1986,Bulgaria,Italy,1,1,0,0
1986,Argentina,South Korea,3,1,0,0
1986,Italy,Argentina,1,1,0,0
1986,South Korea,Bulgaria,1,1,0,0
1986,South Korea,Italy,2,3,0,0
1986,Argentina,Bulgaria,2,0,0,0
1986,Belgium,Mexico,1,2,0,0
1986,Paraguay,Iraq,1,0,0,0
1986,Mexico,Paraguay,1,1,0,0
1986,Iraq,Belgium,1,2,0,0
1986,Iraq,Mexico,0,1,0,0
1986,Paraguay,Belgium,2,2,0,0
1986,Canada,France,0,1,0,0
1986,Russian Federation,Hungary,6,0,0,0
1986,France,Russian Federation,1,1,0,0
1986,Hungary,Canada,2,0,0,0
1986,Hungary,France,0,3,0,0
1986,Russian Federation,Canada,2,0,0,0
1986,Spain,Brazil,0,1,0,0
1986,Algeria,Ireland,1,1,0,0
1986,Brazil,Algeria,1,0,0,0
1986,Ireland,Spain,1,2,0,0
1986,Ireland,Brazil,0,3,0,0
1986,Algeria,Spain,0,3,0,0
1986,Uruguay,Germany,1,1,0,0
1986,Scotland,Denmark,0,1,0,0
1986,Germany,Scotland,2,1,0,0
1986,Denmark,Uruguay,6,1,0,0
1986,Denmark,Germany,2,0,0,0
1986,Scotland,Uruguay,0,0,0,0
1986,Morocco,Poland,0,0,0,0
1986,Portugal,England,1,0,0,0
1986,England,Morocco,0,0,0,0
1986,Poland,Portugal,1,0,0,0
1986,Portugal,Morocco,1,3,0,0
1986,England,Poland,3,0,0,0
1986,Mexico,Bulgaria,2,0,0,0
1986,Russian Federation,Belgium,3,4,0,0
1986,Argentina,Uruguay,1,0,0,0
1986,Brazil,Poland,4,0,0,0
1986,Italy,France,0,2,0,0
1986,Morocco,Germany,0,1,0,0
1986,England,Paraguay,3,0,0,0
1986,Denmark,Spain,1,5,0,0
1986,Brazil,France,4,5,0,0
1986,Germany,Mexico,4,1,0,0
1986,Spain,Belgium,6,5,0,0
1986,Argentina,England,2,1,0,0
1986,Argentina,Belgium,2,0,0,0
1986,France,Germany,0,2,0,0
1986,France,Belgium,4,2,0,0
1986,Argentina,Germany,3,2,0,0
1990,Italy,Austria,1,0,0,0
1990,United States,Czech Republic,1,5,0,0
